ten_SanPham,giaTien,rating,comment,link_Phone
Xiaomi Redmi Note 13,5290000,3.3,195,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
realme C65,4790000,4.3,9,https://www.thegioididong.com/dtdd/realme-c65
Samsung Galaxy A55 5G,11990000,4.0,51,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
Samsung Galaxy Z Fold6 5G,41990000,5.0,24,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6?utm_flashsale=1
Samsung Galaxy S23 Ultra 5G,22990000,4.4,141,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
Samsung Galaxy Z Flip6 5G,26990000,5.0,15,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip6
vivo Y28,5790000,4.1,13,https://www.thegioididong.com/dtdd/vivo-y28
Samsung Galaxy M15 5G,4690000,4.8,4,https://www.thegioididong.com/dtdd/samsung-galaxy-m15-5g-4gb
Samsung Galaxy M35 5G 8GB/256GB,8790000,4.3,23,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g
Xiaomi Redmi Note 13 Pro,7290000,3.4,52,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
OPPO A3x,3490000,3.0,4,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb
Xiaomi Redmi 13,4290000,3.7,44,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb
realme Note 50,2490000,3.9,27,https://www.thegioididong.com/dtdd/realme-note-50-64gb
Samsung Galaxy M54 5G 8GB/256GB,8490000,2.8,52,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
Samsung Galaxy S23 FE 5G,11390000,3.1,68,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe
OPPO Reno11 F 5G,8490000,3.6,26,https://www.thegioididong.com/dtdd/oppo-reno11-f-5g
Samsung Galaxy A35 5G,8790000,3.6,29,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
OPPO A18,3290000,4.0,32,https://www.thegioididong.com/dtdd/oppo-a18
Samsung Galaxy S24 Ultra 5G,29990000,3.8,72,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
iPhone 15 Pro Max,29590000,3.7,197,https://www.thegioididong.com/dtdd/iphone-15-pro-max
iPhone 15 Pro,25090000,4.5,35,https://www.thegioididong.com/dtdd/iphone-15-pro
Xiaomi Redmi A3,2490000,4.2,15,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3
iPhone 15 Plus,22690000,4.4,41,https://www.thegioididong.com/dtdd/iphone-15-plus
iPhone 15,19690000,4.5,50,https://www.thegioididong.com/dtdd/iphone-15
vivo Y100,7090000,3.8,13,https://www.thegioididong.com/dtdd/vivo-y100
Samsung Galaxy M55 5G,11690000,4.0,3,https://www.thegioididong.com/dtdd/samsung-galaxy-m55-5g-12gb-256gb?utm_flashsale=1
vivo Y03,3290000,4.3,7,https://www.thegioididong.com/dtdd/vivo-y03
OPPO Reno12 5G,12990000,3.5,4,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb
OPPO Reno12 F 5G,9990000,3.6,7,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
Samsung Galaxy S24+ 5G,23990000,4.3,11,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
Samsung Galaxy S24 5G,17990000,4.2,35,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
OPPO Reno11 5G 8GB/256GB,10990000,3.2,83,https://www.thegioididong.com/dtdd/oppo-reno11
iPhone 11,8990000,4.1,881,https://www.thegioididong.com/dtdd/iphone-11
realme C67,4190000,3.9,23,https://www.thegioididong.com/dtdd/realme-c67
