Product Name,Current Price,Reviewer,Rating,Comment,Time Used
N/A,N/A,huyền trang,3,em muốn cài sang tiếng việt mà máy hong hỗ trợ,Đã dùng khoảng 1 tháng
N/A,N/A,Trịnh Thanh Tú,4,"Em có mua máy này ở thế giới di động Sóc Trăng, nói chung chức năng ok nhma cái Microsoft store của máy e nó sài kh đc cứ xoay xoay hoài",Đã dùng khoảng 2 tháng
N/A,N/A,NGUYỄN THỊ THANH NHÀN,5,"Mình chỉ sử dụng mục đích học tập, văn phòng nên máy khá ổn.Thế giới di động tại 09 Nguyễn Oanh hỗ trợ tốt về kỹ thuật + chăm sóc khách hàng.",Đã dùng khoảng 1 ngày
N/A,N/A,bùi tiên,3,tôi không bật được micro trên laptop. xin được hỗ trợ,Đã dùng khoảng 1 tuần
Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),18.490.000₫,Nguyễn Chí Vỹ,4,"Lap dùng ổn khi chơi game, làm tác vụ văn phòng mượt, điểm trừ i5 sử dụng hơi nóng, thời lượng pin hơi bị tuộc nhanh phải chăn là dòng Gaming nó như thế, còn lại thì vẫn ổn đối với tôi là vậy",Đã dùng khoảng 1 tuần
Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),18.490.000₫,Cường,2,"Không nên mua con này.Dùng vài tháng đã sạc không vô, loa lúc nghe lúc không rồi sập nguồn luôn, bảo hành hãng thay cả mainBản lề yếu, màn hình rung ring. Cam không hổ trợ face ID",Đã dùng khoảng 4 tháng
Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),18.490.000₫,Nguyễn Chí Tâm,5,Tốt đáng mua,Đã dùng khoảng 1 tuần
Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),18.490.000₫,Nguyễn Xuân Toàn,5,,Đã dùng khoảng 1 tuần
Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),18.490.000₫,Trần Thị Ngọc Khuyên,4,,Đã dùng khoảng 1 tuần
N/A,N/A,Nong thi lan,2,Máy mới mà nhanh hết pin chắc dùng được 2 tiếng,Đã dùng khoảng 1 ngày
N/A,N/A,Nguyễn Thị Quyên,1,Mới mua mà dùng máy nhanh hết pin nhanh nóng máy,Đã dùng khoảng 2 tuần
Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),22.490.000₫,Đỗ Văn Thời,5,Rất ok,Đã dùng khoảng 1 tuần
Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),22.490.000₫,Hải,4,"Máy cấu hình mạnh, giá tốt.",Đã dùng khoảng 2 tháng
Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),22.490.000₫,Lê Minh Hy,5,,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Dư Văn Dũng,5,Máy thì OK.Hỏng cục quần thời gian bảo hành lâu quá.,Đã dùng khoảng 1 tháng
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,VŨ ĐÌNH NGHĨA,5,"Máy dùng ok giá mềm , nhưng dạo này giá mua trả thẳng và giá mua trả góp chênh lệch nhau nhiều quá",Đã dùng khoảng 1 ngày
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,89631 - Đào Tùng,5,Xài ok,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,C Lên,5,"Máy chạy êm, mượt",Đã dùng khoảng 4 tháng
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Anh Dương,5,Perfect,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Anh Thuấn,5,Sản phẩm chất lượng rất tốt phù hợp với nhu cầu sử dụng,Đã dùng khoảng 3 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Hồng Thiết,5,Sau khi phản ánh với trung tâm chăm sóc khách hàng. Thì bên trung tâm đã gọi điện lắng nghe ý kiến phản hồi của khách hàng và kịp thời khắc phục những yêu cầu của khách hàng. Cám ơn đội ngũ chăm sóc khách hàng của Trung tâm.,Đã dùng khoảng 1 ngày
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Lâm Thanh Tiền,5,Máy mượt. Đảm bảo công việc,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Nguyễn Tùng Dương,1,vừa mua hôm nay nhân viên cài máy tệ . đang vội về. không kiểm tra . về tối mở ra . dùng không được. lỗi. đề nghị được hỗ trợ,Đã dùng khoảng 1 ngày
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Chiến,4,Mọi tác vụ cho văn phòng ok,Đã dùng khoảng 2 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Lợi,4,Vẫn bình thường,Đã dùng khoảng 1 tuần
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),9.190.000₫,Huệ,5,Rất tốt,Đã dùng khoảng 1 tháng
