Product Name,Current Price,Reviewer,Rating,Comment,Time Used
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,TRẦN TIẾU HẰNG,5,tốt,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Trường,1,"Máy rất hay lác, bật máy mà hình đen thui mặc dù mới sài được tuần, chờ 6-7 phút pmáy chưa tắt dù đã cập nhập hết phần mềm. Restart máy nửa tiếng chưa xong.",Đã dùng khoảng 7 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Chị Hà,4,"Máy chạy êm, nhanh, pin dùng lâu nha.",Đã dùng khoảng 2 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Không giới thiệu,1,"Laptop mới mua được 9 ngày, mỗi ngày dùng 30p  1 tiếng, đèn báo sáng mà màn hình đen thui. Sản phẩm này không xứng đáng với cái sao nào cả.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thị Hương,3,may nhanh het pin hoi lag ti,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Chị Như,3,Máy mình mua được 10 tháng mà dễ bị đứng máy lắm,Đã dùng khoảng 8 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thừa Chí,5,Sài ok lắm,Đã dùng khoảng 3 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Anh,5,tốt,Đã dùng khoảng 2 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Tạ Trung Nhật,3,Máy này có nhận diện khuôn mặt không,Đã dùng khoảng 4 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Nguyễn Thị Bích Hà,4,"Chị xài máy được hơn hai tuần rồi và thấy rất okay, máy chạy êm, chị hai lòng với sản phẩm này.",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Phan Văn Lâm,5,Sản phẩm tốt,Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Hoàng Xuân Tùng,5,"Sản phẩm tốt nha mn, bạn nào xài đa tách vụ cùng lúc là hợp lắm",Đã dùng khoảng 1 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,LÊ TUẤN SƠN,5,Rất ok.,Đã dùng khoảng 3 tuần
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Lê Nguyễn Nhật Phin,3,Giúp em với ạ. Máy mua được 1 tuần thì lại mở máy kh lên.,Đã dùng khoảng 7 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,a tuân,4,"Màn hình đẹp, xài tác vụ cơ bản ok, game nhẹ nhàng, ram 16gb + ssd 512gb là 2 điểm cộng lớn cho 1 con laptop gần 13tr, chip ryzen 5 7520U hơi yếu thôi. Nói chung là 8/10 ạ",Đã dùng khoảng 1 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Anh Cường,3,vào face book trên cốc cốc xem video một tí là bị đơ máy . có bị như mình không,Đã dùng khoảng 4 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Huy,5,"sản phẩm xài rất tốt , nhân viên tư vấn cũng nhiệt tình",Đã dùng khoảng 2 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Mẫn,5,Tốt,Đã dùng khoảng 1 tháng
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,NGUYEN THI THANH BACH,1,Máy mới mua có 5ngay chỉ coi phim này 1h mà nay mở máy đèn thì sáng mà màn hình kh lên,Đã dùng khoảng 4 ngày
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12.590.000₫,Đỗ Thị Hòa Bình,4,"Máy chạy mượt, nhanh, đẹp. Chỉ mất điểm là máy nhanh hết pin và nhanh bị nóng máy.",Đã dùng khoảng 1 tuần
Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),14.290.000₫,Lâm,2,Vừa mua xong thì có khuyến mãi game.,Đã dùng khoảng 2 tuần
